State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"Pennsylvania","S.B.9","Restricting student & educator rights | School sports bans","Advancing","Passed Senate; House re-referred to committee","07/09/2025",""
"Oregon","H.B.2439","Other anti-LGBTQ bills | Other civil rights restrictions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/27/2025",""
"Oregon","H.B.2037","Restricting student & educator rights | School facilities bans | School sports bans","Defeated","Legislative session ended","06/27/2025",""
"Oregon","S.B.787","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/27/2025",""
"Oregon","S.B.618","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/27/2025",""
"Oregon","S.B.899","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/27/2025",""
"Oregon","H.B.3330","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/27/2025",""
"Oregon","S.B.1100","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/27/2025",""
"Oregon","H.B.3740","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/27/2025",""
"North Carolina","S442","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","07/03/2025",""
"New Jersey","A.775","Restricting student & educator rights | School sports bans","Advancing","Motion to table prevailed","06/30/2025",""
"New Hampshire","H.B.148","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Passed House and Senate; Senate ordered enrolled","07/02/2025",""
"Massachusetts","H.551","Curriculum censorship | Forced outing in schools | Restricting student & educator rights","Advancing","Hearing scheduled from 11:00 AM-05:00 PM","07/21/2025",""
"Maine","L.D. 868 (H.P. 554)","Restricting student & educator rights | School facilities bans | School sports bans","Defeated","House and Senate concurred ought not to pass","06/16/2025",""
"Maine","L.D. 1337 (H.P. 872)","Other civil rights restrictions | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws","Defeated","House and Senate concurred ought not to pass","06/16/2025",""
"Maine","L.D. 233 (H.P. 156)","Restricting student & educator rights | School sports bans","Defeated","Died between houses, ought not to pass","06/17/2025",""
"Texas","S.B. 12","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","06/20/2025",""
"Texas","H.B. 229","Other anti-LGBTQ bills","Passed into Law","Governor signed","06/20/2025",""
"Texas","S.B. 1188","Other anti-LGBTQ bills","Passed into Law","Governor signed","06/20/2025",""
"New Hampshire","H.B.712","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Conference committee report adopted by House and Senate","06/26/2025",""
"New Hampshire","H.B.377","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Conference committee report adopted by House and Senate","06/26/2025",""
"Iowa","S.F.220","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","05/14/2025",""
"Florida","H.B. 731","Other anti-LGBTQ bills","Defeated","Legislative session adjourned","06/16/2025",""
"Florida","H.B. 75","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session adjourned","06/16/2025",""
"Florida","S.B. 440","Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session adjourned","06/16/2025",""
